id_ordem,nome_ordem
0,Accipitriformes
1,Actiniaria
2,Amblypygi
3,Amphipoda 
4,Anseriformes
5,Anthoathecata
6,Anura
7,Apodida
8,Apodiformes
9,Araneae
10,Artiodactyla
11,Atheriniformes
12,Blattodea
13,Caenogastropoda
14,Camarodonta
15,Caprimulgiformes
16,Carcharhiniformes
17,Carnivora
18,Cassiduloida
19,Cetacea
20,Characiformes
21,Charadriiformes
22,Chiroptera
23,Ciconiiformes
24,Cingulata
25,Coleoptera
26,Collembola
27,Columbiformes
28,Cuculiformes
29,Cyprinodontiformes
30,Decapoda
31,Diplura
32,Elopiformes
33,Enteropneusta
34,Entomobryomorpha
35,Ephemeroptera
36,Eunicida
37,Euonychophora
38,Forcipulatida
39,Galbuliformes
40,Galliformes
41,Glomeridesmida
42,Gruiformes
43,Gymnomorpha
44,Gymnotiformes
45,Haplotaxida
46,Hemiptera
47,Hexanchiformes
48,Hymenoptera
49,Isopoda
50,Lamniformes
51,Lepidoptera
52,Littorinimorpha
53,Nyctibiiformes
54,Odonata
55,Ophidiiformes
56,Opiliones
57,Orectolobiformes
58,Orthoptera
59,Ostreoida
60,Palpigradi
61,Passeriformes
62,Paxillosida
63,Pelecaniformes
64,Perciformes
65,Perissodactyla
66,Phaethontiformes
67,Piciformes
68,Pilosa
69,Pleuronectiformes
70,Poduromorpha
71,Poecilosclerida
72,Polydesmida
73,Primates
74,Pristiformes
75,Procellariiformes
76,Pseudoscorpiones
77,Psittaciformes
78,Pulmonata
79,Rajiformes
80,Rodentia
81,Schizomida
82,Scleractinia
83,Scolopendromorpha
84,Scorpaeniformes
85,Scorpiones
86,Siluriformes
87,Sirenia
88,Spirostreptida
89,Spongillida
90,Squamata
91,Squatiniformes
92,Strigiformes
93,Stylommatophora
94,Suberitida
95,Suliformes
96,Symphypleona
97,Syngnathiformes
98,Terebratulida
99,Testudines
100,Tinamiformes
101,Torpediniformes
102,Tricladida
103,Trogoniformes
104,Unionoida
105,Valvatida
106,Zygentoma
107,Zygoptera
